id;feedback_history;start_history;stop_history
1;0|0;1628420715|1628420715;1628420717|1628420717
2;0|0;1628420717|1628420717;1628420720|1628420720
3;0|0;1628420720|1628420720;1628420724|1628420724
4;0|0;1628420724|1628420724;1628420725|1628420725
5;0|0;1628420725|1628420725;1628420726|1628420726
6;0|0;1628420726|1628420726;1628420727|1628420727
7;0|0;1628420727|1628420727;1628420728|1628420728
8;0|0;1628420728|1628420728;1628420730|1628420730
9;0|0;1628420730|1628420730;1628420731|1628420731
10;0|0;1628420731|1628420731;1628420732|1628420732
11;0|0;1628420732|1628420732;1628420734|1628420734
12;0|0;1628420734|1628420734;1628420735|1628420735
13;0|0;1628420735|1628420735;1628420736|1628420736
14;0|0;1628420736|1628420736;1628420738|1628420738
15;0|0;1628420738|1628420738;1628420739|1628420739
16;0|0;1628420739|1628420739;1628420740|1628420740
17;0|0;1628420740|1628420740;1628420742|1628420742
18;0|0;1628420742|1628420742;1628420743|1628420743
19;0|0;1628420743|1628420743;1628420745|1628420745
20;0|0;1628420745|1628420745;1628420748|1628420748
21;;;
22;;;
23;;;
24;;;
25;;;
26;;;
27;;;
28;;;
29;;;
30;;;
31;;;
32;;;
33;;;
34;;;
35;;;
36;;;
37;;;
38;;;
39;;;
40;;;
41;;;
42;;;
43;;;
44;;;
45;;;
46;;;
47;;;
48;;;
49;;;
50;;;
51;;;
52;;;
53;;;
54;;;
55;;;
56;;;
57;;;
58;;;
59;;;
60;;;
61;;;
62;;;
63;;;
64;;;
65;;;
66;;;
67;;;
68;;;
69;;;
70;;;
71;;;
72;;;
73;;;
74;;;
75;;;
76;;;
77;;;
78;;;
79;;;
80;;;
81;;;
82;;;
83;;;
84;;;
85;;;
